source_id,tier,P_vgrf_below_25,vgrf_default_exact,mc_realisations,orbit_mc_realisations,R_peri_kpc_p16,R_peri_kpc_p50,R_peri_kpc_p84,R_apo_kpc_p16,R_apo_kpc_p50,R_apo_kpc_p84,z_max_kpc_p16,z_max_kpc_p50,z_max_kpc_p84,ecc_p16,ecc_p50,ecc_p84,min_r_sph_kpc_p16,min_r_sph_kpc_p50,min_r_sph_kpc_p84,J_R_p16,J_R_p50,J_R_p84,J_z_p16,J_z_p50,J_z_p84,J_phi_p16,J_phi_p50,J_phi_p84
1153779402850228992,A,1.0,17.695477345953364,500,10000,0.0594656153023243,0.1211623065173626,0.17670643031597139,7.68821153640747,7.714984893798828,7.785975589752197,3.478689069747925,3.98714542388916,4.078137359619141,0.955196549794294,0.9692502768627291,0.9846581521230574,0.12841887652873993,0.1681613326072693,0.21968016147613526,610.1989405342832,623.5468438640728,641.0853196961617,8.55081235433382,8.775225042541305,8.980309858159512,27.230653953470625,55.14154626811685,78.45281890642416
1338748491647110400,A,0.996,22.63809841711559,500,10000,0.18868652641773223,0.20978442579507828,0.23565996170043946,8.119318008422852,8.12948226928711,8.14286849975586,3.9510988998413086,4.081015586853027,4.177428226470948,0.943624776285505,0.9496878893061715,0.9546656898211947,0.20157024383544922,0.23214101791381836,0.2767246615886688,638.0877601837573,642.5943824944825,647.2237458430694,1.180909118288732,1.3764877217432563,1.5947560786009491,-108.5827986088924,-99.59503676142654,-90.460319704623
1528927066531942656,A,1.0,8.854272316086321,500,10000,0.057197621017694475,0.08053275942802429,0.10492659449577331,8.281861839294434,8.303562641143799,8.313760414123536,4.191934356689453,4.351855993270874,4.451652126312256,0.9750250723588267,0.9807847577040165,0.9863154880237951,0.08374903678894044,0.12142031639814377,0.1829657733440399,681.4167578412054,688.9958725746286,695.8729844724652,4.696869405307812,4.876050518996392,5.093118761434628,24.396990805070793,35.18509596549751,47.53468443516694
1636186487405423744,A,0.97,20.256939478765293,500,10000,0.11377753734588623,0.15230002254247665,0.19881964802742005,8.298755836486816,8.364792823791504,8.390678062438965,4.185204620361328,4.260484218597412,4.370951557159424,0.9534108710403789,0.9642220855320678,0.9730413664047362,0.1452516633272171,0.19179042428731918,0.25646737337112424,656.8711112992705,667.6311106843815,679.3636705525282,9.034128193802772,10.262384603104067,11.78874965836802,-91.66071235341695,-72.11705614255183,-51.67902262198777
1958311371069950080,A,0.998,9.372281131833468,500,10000,0.03847612544894219,0.10523509606719017,0.20511781573295593,8.221752166748047,8.222369194030762,8.224980010986329,4.0193651580810545,4.235912084579468,4.392472801208496,0.9513256670062754,0.9747338398587458,0.9906842031142936,0.07302437365055085,0.13988875597715378,0.2354904645681381,651.7035034797143,679.4267553657224,699.9614881237852,0.4886115402841571,0.7256251846144224,1.018242254787447,-33.43330392900673,29.18381484225894,92.0875167457058
2051168598372904320,A,0.98,15.092229638156311,500,10000,0.09808682531118393,0.13678860664367676,0.19567532777786256,8.892393112182617,9.183345794677734,9.540195426940917,4.057610359191894,4.0735182762146,4.097045955657959,0.9597899222934445,0.9706118130058179,0.9782032844116155,0.46635475993156433,0.5346445143222809,0.5942241144180298,730.8996345182534,750.1623638358869,770.2287848896397,31.999652610761505,34.06803822348957,36.327650451949886,-83.93419379886261,-58.89234659062909,-41.93876692265058
2088349133825350400,A,1.0,15.464128450768982,500,10000,0.09544055163860321,0.10222660005092621,0.10963379383087159,8.183509216308593,8.189534187316895,8.197017669677734,4.084028816223144,4.255207538604736,4.329159469604492,0.9735736571733526,0.9753432205600734,0.9769693443552528,0.09861663818359374,0.11356950551271439,0.12915995240211486,673.1772250507352,673.99285592105,674.8022022061838,1.4917372121207086,1.5441358212166396,1.6067648461502078,-50.96604613627944,-49.72910878218385,-48.50687420476473
2726043612814733952,A,0.974,22.76453339392836,500,10000,0.17187860548496248,0.21017945557832718,0.24698597431182862,7.702815895080566,7.726979732513428,7.826659297943115,3.737750406265259,3.814514398574829,3.9336808776855468,0.938192638730352,0.9469984810755023,0.956876813497203,0.28097398161888126,0.3935380280017853,0.466402143239975,591.7281660106951,599.9644400712134,608.0219550545817,23.092460005558312,23.687912984863416,24.45499411710211,76.33366152166032,91.925701593329,108.34064876070367
2871996462779346304,A,0.992,17.105413447333785,500,10000,0.032927288711071014,0.08574420213699341,0.18294134616851807,9.32133804321289,9.373207092285156,9.440931663513183,4.3393090629577635,4.426528692245483,4.491921253204346,0.962020762325117,0.9818624580818678,0.992971316634493,0.3585562670230866,0.4140980988740921,0.49001714229583737,761.8892741028411,779.3213583539613,789.9119873059818,29.793355815883015,30.140087055344353,30.69992080289296,-10.021969843537256,26.449626237520363,73.62088858257161
4745198860691552128,A,0.954,14.43282999738491,500,10000,0.04069822132587434,0.11082512512803078,0.22049328625202178,8.286608390808105,8.355824947357178,8.51698989868164,3.005167398452759,3.0922032594680786,3.323092288970947,0.9488997565721714,0.9739230668493606,0.9903725099687652,0.7161563920974732,0.7737255096435547,0.803914749622345,649.6695779967116,676.4691147528868,696.5561646192576,67.07417115771298,72.09667455846201,78.53391489386878,-72.5773988959491,-7.153905568193993,57.03332177021793
